species,breed,age_group,disease,symptoms_list,key_signs,recommended_treatment,prevention
Cattle,Angus,Neonate,Dermatophilosis,exudative_dermatitis|crusting_skin_lesions|lameness|wet_skin|matted_hair|ticks_observed,exudative dermatitis; crusting skin lesions,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Bali,Juvenile,Blackleg,severe_lameness|sudden_death,severe lameness; sudden death,Vaccination for prevention; penicillin/oxytetracycline in early cases; carcass disposal.,Good husbandry; vaccination where available; vector control where relevant.
Pig,Local,Senior,Brucellosis,abortions|retained_placenta|reduced_fertility,abortions; retained placenta,Test-and-slaughter or long-term control programs; antibiotics limited; vaccination in control programs; public health measures.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Poultry,Indigenous,Juvenile,Newcastle Disease,diarrhoea|drop_in_egg_production,diarrhoea; drop in egg production,Supportive care; vaccination for prevention; biosecurity.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Kalahari,Juvenile,Orf (Contagious Ecthyma),weight_loss|lamb_kid_mortality,weight loss; lamb kid mortality,Supportive care; topical antiseptics; live vaccines for flocks/herds where available.,Good husbandry; vaccination where available; vector control where relevant.
Pig,Local,Adult,Anthrax,sudden_death|swelling|neck_edema|tongue_ulcers,sudden death; swelling,Immediate isolation; do NOT open carcass; notify authorities; vaccinate in risk areas; consult DVS for carcass disposal.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Kalahari,Senior,Dermatophilosis,crusting_skin_lesions|lameness,crusting skin lesions; lameness,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer,Juvenile,Orf (Contagious Ecthyma),lamb_kid_mortality|scabby_lesions_mouth,lamb kid mortality; scabby mouth lesions,Supportive care; topical antiseptics; live vaccines for flocks/herds where available.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Katahdin,Senior,Orf (Contagious Ecthyma),weight_loss|lamb_kid_mortality,weight loss; lamb kid mortality,Supportive care; topical antiseptics; live vaccines for flocks/herds where available.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Local,Adult,Dermatophilosis,exudative_dermatitis|wet_skin|matted_hair|lameness|crusting_skin_lesions,exudative dermatitis; wet skin,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Kalahari,Juvenile,Anaplasmosis,fever|weakness,fever; weakness,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Merino,Neonate,Babesiosis,hemoglobinuria|anorexia|fever|ticks_observed,red/brown urine (hemoglobinuria); reduced appetite/anorexia,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Local,Senior,Theileriosis,fever|drooling|icterus|lymph_node_enlargement,fever; drooling/ptyalism,Buparvaquone; supportive care; tick control; isolate and treat early.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer cross,Juvenile,Dermatophilosis,lameness|matted_hair|wet_skin|crusting_skin_lesions|ticks_observed,lameness; matted hair,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Local,Adult,Mastitis,swollen_udder|abnormal_milk|pain_on_palpation|reduced_milk,swollen udder; abnormal milk,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Katahdin,Neonate,Parasitic Gastroenteritis,weight_loss|anorexia|diarrhoea|bottle_jaw|poor_condition,weight loss; reduced appetite/anorexia,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer,Senior,Foot-and-Mouth Disease,lameness|fever|blisters_mouth_feet|excess_salivation|reduced_appetite,lameness; fever,No specific treatment; supportive care; strict movement controls; vaccination campaigns; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Merino,Neonate,Parasitic Gastroenteritis,anorexia|diarrhoea|poor_condition|bottle_jaw,reduced appetite/anorexia; diarrhoea,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Local,Adult,Dermatophilosis,matted_hair|exudative_dermatitis,matted hair; exudative dermatitis,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Local,Neonate,Dermatophilosis,exudative_dermatitis|crusting_skin_lesions,exudative dermatitis; crusting skin lesions,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Goat,Boer cross,Adult,Parasitic Gastroenteritis,weight_loss|poor_condition|bottle_jaw|anorexia,weight loss; poor condition,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Pig,Berkshire,Adult,African Swine Fever,abortions|hemorrhages,abortions; hemorrhages,"No treatment or vaccine; depopulation, biosecurity and carcass disposal.",Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Local,Adult,Mastitis,pain_on_palpation|reduced_milk|swollen_udder|abnormal_milk,pain on palpation; reduced milk yield,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Sanga,Neonate,Mastitis,abnormal_milk|pain_on_palpation,abnormal milk; pain on palpation,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Dorper,Senior,Parasitic Gastroenteritis,weight_loss|diarrhoea,weight loss; diarrhoea,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Pig,Local,Juvenile,African Swine Fever,sudden_death|abortions|high_fever|hemorrhages|anorexia,sudden death; abortions,"No treatment or vaccine; depopulation, biosecurity and carcass disposal.",Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Boer cross,Senior,Parasitic Gastroenteritis,poor_condition|anorexia,poor condition; reduced appetite/anorexia,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
Poultry,Indigenous,Neonate,Avian Influenza (HPAI),swelling_head|respiratory_signs,swelling of head; respiratory signs,No treatment; culling; strict biosecurity; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Dorper,Senior,Mannheimiosis (Pasteurellosis),respiratory_distress|fever,respiratory distress; fever,"Antibiotics (e.g., tetracyclines, macrolides) based on vet guidance; supportive care; vaccination where available.",Good husbandry; vaccination where available; vector control where relevant.
Poultry,Local scavenging,Adult,Avian Influenza (HPAI),swelling_head|respiratory_signs|sudden_death,swelling of head; respiratory signs,No treatment; culling; strict biosecurity; notify authorities.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Cattle,Friesian,Juvenile,Babesiosis,fever|anemia|weakness|hemoglobinuria,fever; anemia,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Katahdin,Senior,Anaplasmosis,fever|pale_mucous_membranes|weight_loss|progressive_anemia|weakness|ticks_observed,fever; pale mucous membranes,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Merino,Juvenile,Babesiosis,hemoglobinuria|fever|ticks_observed,red/brown urine (hemoglobinuria); fever,Imidocarb dipropionate or diminazene; supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Local,Adult,Dermatophilosis,crusting_skin_lesions|wet_skin|lameness|exudative_dermatitis|ticks_observed,crusting skin lesions; wet skin,Topical cleaning; zinc sulphate dressings; systemic antibiotics for secondary infection; dipping.,Good husbandry; vaccination where available; vector control where relevant.
Cattle,Friesian,Juvenile,Mastitis,reduced_milk|swollen_udder|pain_on_palpation,reduced milk yield; swollen udder,Intramammary antibiotics guided by culture; systemic antibiotics for severe cases; frequent milking; observe withdrawal times.,Good husbandry; vaccination where available; vector control where relevant.
Pig,Berkshire,Adult,African Swine Fever,sudden_death|high_fever|anorexia|hemorrhages,sudden death; high fever,"No treatment or vaccine; depopulation, biosecurity and carcass disposal.",Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Sheep,Katahdin,Senior,Anaplasmosis,fever|weakness|pale_mucous_membranes|weight_loss,fever; weakness,Tetracyclines (oxytetracycline); supportive care; tick control.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Merino,Senior,Brucellosis,abortions|orchitis|retained_placenta|reduced_fertility,abortions; orchitis,Test-and-slaughter or long-term control programs; antibiotics limited; vaccination in control programs; public health measures.,Notify authorities; vaccination where applicable; strict biosecurity and movement control.
Goat,Local,Neonate,Tick-bite toxicosis,sudden_weakness|lameness|anemia|ticks_observed|sudden_death,sudden weakness; lameness,Remove ticks; supportive care; acaricides; symptomatic treatment.,Good husbandry; vaccination where available; vector control where relevant.
Sheep,Katahdin,Neonate,Mannheimiosis (Pasteurellosis),nasal_discharge|respiratory_distress,nasal discharge; respiratory distress,"Antibiotics (e.g., tetracyclines, macrolides) based on vet guidance; supportive care; vaccination where available.",Good husbandry; vaccination where available; vector control where relevant.
Cattle,Bonsmara,Senior,Parasitic Gastroenteritis,diarrhoea|anorexia|bottle_jaw|poor_condition,diarrhoea; reduced appetite/anorexia,Anthelmintics per local guidance; pasture management; nutrition support.,Good husbandry; vaccination where available; vector control where relevant.
